Date,Mode,Category,Subcategory,Note,Amount,Type,Currency
2018-09-20,Cash,Transportation,Train,2 Place 5 to Place 0,30.0,Expense,INR
2018-09-20,Cash,Food,snacks,Idli medu Vada mix 2 plates,60.0,Expense,INR
2018-09-19,Saving Bank account 1,subscription,Netflix,1 month subscription,199.0,Expense,INR
2018-09-17,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,19.0,Expense,INR
2018-09-16,Cash,Festivals,Ganesh Pujan,Ganesh idol,251.0,Expense,INR
2018-09-15,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,200.0,Expense,INR
2018-09-14,Cash,Transportation,auto,Place 2 station to Permanent Residence,50.0,Expense,INR
2018-09-13,Saving Bank account 1,Transportation,Train,2 Place 0 to Place 3,40.0,Expense,INR
2018-09-13,Cash,Food,Grocery,1kg atta,46.0,Expense,INR
2018-09-12,Credit Card,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR
2018-09-11,Saving Bank account 1,Food,Lunch,Home Food Delivery,650.0,Expense,INR
2018-09-11,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-09-10,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-09-07,Cash,Food,Milk,Half lit  milk,37.0,Expense,INR
2018-09-06,Cash,Food,snacks,Amul butter,55.0,Expense,INR
2018-09-05,Cash,Apparel,Laundry,11 clothes ironing,77.0,Expense,INR
2018-09-05,Cash,Food,snacks,Chinese Bhel,30.0,Expense,INR
2018-09-05,Cash,Food,snacks,Shev Puri,40.0,Expense,INR
2018-09-05,Cash,Food,snacks,2 kachori,24.0,Expense,INR
2018-09-05,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-09-05,Saving Bank account 1,Food,breakfast,Bread,18.0,Expense,INR
2018-08-31,Credit Card,Food,Dinner,Domino's Pizza,510.85,Expense,INR
2018-08-31,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-08-30,Cash,Food,Sweets,Warna Srikhand pav kg,78.0,Expense,INR
2018-08-30,Cash,Household,Kirana,Supermart,343.0,Expense,INR
2018-08-29,Cash,Food,Grocery,Baking soda,27.0,Expense,INR
2018-08-29,Cash,Food,Ice cream,chocobar,15.0,Expense,INR
2018-08-29,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-08-27,Cash,Food,curd,Dahi 2 packets,20.0,Expense,INR
2018-08-27,Cash,Food,breakfast,2 plates poha,60.0,Expense,INR
2018-08-27,Cash,Food,Biscuits,Khari packet,45.0,Expense,INR
